userID-businessID,prediction
U592927299-B582747175,4.041695
U326744997-B293877789,3.631687
U014802143-B622099405,4.522775
U082343558-B506401660,4.636482
U450172597-B771411834,4.010688
U219172945-B785890871,4.083007
U062681925-B682573633,4.139763
U066669970-B476009886,4.910400
U911251862-B349710419,4.705906
U198284189-B198515974,3.716371
U520683544-B266365097,3.965465
U301528043-B750186376,3.915063
U881360212-B615020346,4.385817
U476864340-B299001045,3.738974
U666247895-B769325618,4.396903
U028514717-B861646961,3.680348
U362452882-B318620045,3.626976
U074403097-B406289487,4.667609
U791078966-B679700829,4.041174
U242326609-B048851432,4.672989
U306474645-B885140748,3.799974
U532734461-B120499153,3.842485
U705901608-B785409465,3.305928
U187559079-B346242776,3.859787
U945705702-B338587219,3.774535
U204755236-B667336466,4.792523
U704820573-B141004711,4.224435
U661031408-B897446868,4.054694
U284378163-B194714312,3.871141
U808082656-B546467941,3.989426
U491801812-B136274323,4.047935
U963901471-B150179620,4.166450
U368611647-B181109577,3.568324
U407101313-B903181568,3.733095
U254962894-B599429982,4.304238
U293377403-B162398144,3.616510
U664482359-B152426414,4.848210
U101471414-B447689065,4.155664
U286853418-B335137935,4.320017
U397797910-B007407681,4.409374
U177423722-B678800943,4.729021
U654892867-B256146571,3.439755
U207513005-B853658462,4.101927
U756581786-B561368099,4.547388
U047352707-B285025772,4.799122
U644728078-B148029041,4.779218
U150108242-B523319373,4.021780
U845711229-B298228042,4.050170
U495812323-B166849644,4.423785
U720348924-B367960514,4.229261
U476328453-B582915145,4.646120
U925963547-B900108787,4.741812
U366810823-B071560583,4.192809
U726910654-B528420048,3.893471
U234662554-B776590333,4.879327
U356092087-B476698423,4.246198
U882484426-B993246421,4.723399
U993936348-B894540572,4.591497
U457886101-B480867079,3.617399
U217402952-B612137539,4.723919
U549675664-B646370440,4.830384
U299348534-B433825818,4.105368
U256327800-B263366191,3.949713
U377578825-B845140950,4.506472
U077717926-B454850542,3.500542
U869464104-B113463711,4.532945
U308437587-B931349059,4.040423
U681138891-B205384883,4.216011
U584180399-B367791486,4.642592
U878334137-B206446276,4.432211
U681832992-B392148622,3.878107
U112558540-B358870182,3.618164
U238052658-B927280428,4.955466
U088451275-B599227078,5.087661
U582448019-B710044921,3.860934
U776598915-B427489265,4.451181
U053543868-B276901373,4.670290
U718233956-B813748545,4.844533
U992520349-B126199207,4.365789
U993647113-B447718970,4.614223
U320571068-B063917370,4.282812
U106586475-B293506533,4.338910
U449000924-B861740501,3.887519
U655256966-B753710630,3.757099
U842112328-B121754772,4.095182
U901505075-B481467854,4.314524
U965491796-B681999061,3.841113
U190112167-B897930466,3.583678
U629656579-B718786990,4.017716
U961462018-B801980742,4.427213
U535323055-B146675341,3.983568
U152570264-B818497099,3.824902
U310108140-B682702795,4.386600
U425287554-B238421719,4.517222
U320305325-B880652871,4.337183
U534754151-B404347967,3.647090
U488596392-B344594031,4.320788
U782794839-B962999359,4.304820
U867041462-B311053137,4.067085
U425282255-B710156809,4.409768
U192991353-B500415558,3.815245
U334747861-B263132772,4.820206
U253311120-B992845015,3.815685
U689347656-B404168221,4.524772
U137926091-B190069602,4.025260
U281644669-B524299460,3.915774
U875390794-B136123608,5.182001
U125606685-B027651048,4.404470
U784900818-B760607659,4.705905
U996439458-B930400811,4.369180
U819354654-B790038992,4.003279
U371377616-B960809383,3.987978
U815170367-B228546660,4.203039
U082893733-B104339969,3.979822
U634232444-B563382313,4.068917
U139653751-B695807528,4.123551
U478308479-B987803943,3.852093
U522401804-B176333677,4.099845
U204937880-B470008703,4.117597
U107313499-B439612446,4.298601
U427780874-B502086690,4.543762
U745202785-B703725935,4.433188
U047518121-B865167171,4.621094
U116776821-B989164708,4.352122
U637588426-B243714180,3.896120
U150110563-B494133442,4.367346
U664482359-B900521593,4.940503
U758389387-B776730994,3.924935
U199696401-B837479382,4.310927
U803012061-B792227194,3.975054
U749596754-B768793339,5.156953
U476045604-B912682083,3.794798
U174137791-B683616515,3.487956
U769781637-B024813010,3.132568
U530544919-B710593043,4.777874
U476864340-B582896431,3.793676
U978027932-B443785367,4.852321
U492224323-B377766082,4.364592
U443350701-B888834093,4.454827
U137926091-B874728575,4.562059
U864955220-B545166404,4.778315
U746584850-B203142261,4.394689
U378452096-B748954902,5.020096
U992463421-B519104304,4.420812
U627836725-B529149257,4.755120
U081672162-B240762244,4.700851
U430348043-B771448018,4.574201
U027659873-B389774334,3.982262
U657673850-B376138753,4.437136
U146913694-B375318284,3.949378
U242754454-B154879653,4.141738
U247249276-B853658462,4.434137
U560542443-B451517173,4.508174
U679870793-B233614175,4.568421
U988554362-B605568420,4.104586
U082681168-B777230179,3.770477
U608975794-B962797183,4.312751
U328583819-B015931135,4.295888
U595105147-B220832727,4.611051
U659694809-B573912876,4.465814
U443990466-B164657959,3.883637
U757493378-B457823336,4.930960
U139467661-B129769909,4.186793
U887934885-B143811385,4.428782
U023959251-B239564377,3.915763
U796842991-B911660997,4.465360
U157809576-B903693263,4.677172
U422145413-B779276307,4.163056
U508225305-B997648456,4.511191
U558347847-B736692882,4.222377
U329012521-B951666990,3.904824
U449465101-B122530822,4.205895
U175751483-B064809665,4.057288
U279629417-B670836912,4.453268
U827182046-B385887372,4.106249
U551165141-B769473614,4.656775
U042303030-B772461888,4.821543
U878431396-B321246160,4.362610
U146568417-B761261417,4.416584
U755293116-B717490141,4.519590
U622110120-B239099542,2.981498
U392882156-B902223581,3.915771
U764111480-B716322039,4.345791
U209393019-B537609419,4.184985
U443532924-B575965961,4.323927
U539847086-B451171771,3.964706
U491622820-B214214262,3.183460
U705453243-B039351360,4.019292
U559743786-B689207874,3.955956
U481343299-B775239881,4.531872
U758534555-B045534159,4.093582
U922931171-B280520580,4.498381
U097819539-B740600442,5.056155
U248374595-B444337111,3.734613
U740502237-B569854014,4.869569
U663798958-B059691404,4.135529
U430759505-B698983750,4.323184
U278220603-B678082268,4.348660
U141721773-B700383423,4.268572
U995473804-B539500768,4.208644
U806374944-B426117994,4.654473
U533068233-B568538820,4.334815
U872632024-B903536206,4.344434
U908414154-B543398050,5.083495
U630418680-B627334916,4.535946
U832292289-B636052203,4.846572
U829534085-B768112769,4.234936
U656102178-B775853642,4.062659
U494033239-B482017556,4.289048
U393594127-B862329554,4.306213
U743791629-B715303893,4.315974
U226254307-B589153606,3.435623
U991865614-B006184578,4.341645
U398910752-B320790516,4.601342
U427780874-B792255664,4.083888
U976950083-B694952409,4.326567
U029727986-B429404818,4.069664
U084114010-B639063921,3.964831
U488469144-B674322612,4.112930
U028238254-B954445461,4.579308
U409000562-B821022150,4.403919
U905940656-B991603654,4.240398
U416110073-B574033189,4.112148
U184571128-B357492562,4.748815
U643957875-B949556547,4.291270
U709070294-B285291418,3.814077
U838990254-B856343916,3.549674
U615479687-B857489262,4.749786
U827152681-B597796827,4.632003
U022384050-B863069330,3.517326
U812150439-B930501732,4.446972
U858469389-B641411899,4.934317
U727534961-B029199055,4.462147
U892573927-B138584151,3.983104
U441076901-B305916838,4.413536
U125482413-B500093189,4.350458
U866002658-B937737034,4.099110
U844781360-B173622377,4.613785
U129451838-B303162174,4.615420
U926345042-B697811558,3.878780
U718898844-B634317463,3.423468
U778108715-B816786696,4.673165
U477560227-B771386038,4.639338
U564785778-B467119224,4.590243
U734645023-B108337063,4.152849
U002906601-B751125081,4.124770
U670485890-B177207032,3.431805
U908745071-B795805030,3.835095
U204330473-B672208671,3.773611
U729387823-B194827941,4.352305
U703233133-B542338454,3.960296
U608975794-B195039689,3.666302
U550938618-B807215940,3.930651
U443350701-B032908387,4.435721
U667590624-B767672099,3.831161
U553318083-B105693016,3.842644
U470209338-B990539744,4.073189
U503681476-B316854904,4.552631
U806084544-B916756610,4.107175
U212146511-B972871707,4.421312
U402446194-B853155383,3.634937
U003814576-B932554352,3.849374
U650238320-B184914543,4.271757
U255639489-B963916271,3.664337
U335914618-B877729841,4.390961
U246187112-B311882646,4.082277
U763526724-B126195172,4.311795
U733523732-B818977030,4.653026
U962463049-B994730721,3.463618
U793324755-B747382942,4.221402
U025052787-B254805082,3.830324
U414842005-B079262214,3.631902
U818764040-B234778813,3.626325
U726060399-B774264881,4.558503
U310486330-B963814725,4.159865
U407101313-B863202492,3.065101
U021912149-B131189453,4.616127
U496439959-B110366118,4.803759
U844307787-B660947372,4.276322
U577061573-B054026810,4.290139
U975379170-B829532247,4.699111
U706142930-B707642812,3.673980
U610322161-B276479206,4.263313
U381485742-B082520607,3.351451
U412037390-B678297320,4.706854
U097790878-B493694578,4.838300
U498761972-B285025772,3.700193
U633681401-B357109513,4.558705
U096906418-B489202805,4.351621
U377690239-B416945659,4.773940
U911185006-B838774203,4.273793
U533974902-B519677375,4.654457
U605405079-B019269977,4.057110
U842710122-B032987781,3.797439
U252338830-B303495475,4.852634
U997165781-B820695868,4.344793
U189274186-B097870473,4.526037
U312511481-B486222225,3.199405
U530096928-B049944865,4.594043
U096906418-B182046953,3.710529
U957798357-B253904975,4.027272
U114229267-B831656052,4.673917
U265390812-B008019592,4.914128
U905577651-B015484034,4.138877
U116058437-B197227925,3.622077
U032858281-B030763514,2.856380
U826206887-B020496121,4.336910
U427780874-B942955438,4.524525
U740018752-B690846250,4.798701
U041434084-B086019450,4.194253
U156088506-B057340025,4.677728
U286991623-B413142080,4.339739
U821545145-B868529683,4.270394
U707194756-B394646312,4.081160
U868220899-B630070717,4.827789
U237734882-B822090262,4.109105
U515312713-B367685346,4.626615
U777757516-B479665657,3.100447
U279761200-B743931425,4.405991
U489899521-B952630922,3.564921
U964717138-B918451647,3.781207
U812083456-B719259286,4.546202
U879844638-B157336259,4.161768
U089140476-B600784817,3.703603
U136996240-B929018438,4.274784
U971736499-B479089438,3.880463
U632604333-B779986974,4.059888
U407518339-B538775804,4.713301
U339844192-B141539020,4.108369
U411843159-B117447326,4.531477
U609092481-B228546660,3.896898
U405172731-B042206281,4.297691
U092023222-B078609029,4.914819
U841409363-B543864283,4.133038
U701234690-B947932741,4.255477
U075710634-B028848472,4.773009
U845772997-B469785862,4.765442
U207682779-B823525583,4.496595
U287225514-B768112769,4.209714
U106924299-B628940820,3.862966
U266377819-B639864000,4.380844
U476858343-B769747610,3.547670
U124085233-B934884888,4.181596
U435095899-B508304572,4.530836
U543902912-B657824544,4.177639
U298888508-B025305245,4.179230
U586131607-B946632657,4.430121
U017126480-B029199055,4.548996
U383753573-B131437416,3.856694
U595746920-B334443763,4.391328
U518392435-B925030175,4.729798
U689201416-B810747896,3.890773
U364325486-B610281169,4.119864
U478426913-B042117231,4.655805
U902816030-B048132578,4.443234
U247719187-B339232466,4.293772
U958039066-B613449327,4.164989
U219796563-B459799281,3.971042
U833818295-B520840619,4.379518
U971814124-B807215940,4.092213
U247435869-B471588516,4.378484
U772029315-B161758105,4.622817
U109916145-B548376334,4.440720
U711491359-B714199604,3.769978
U587729752-B710390560,4.393627
U744276886-B616004111,3.195436
U955518733-B214378383,4.390643
U800377547-B966763167,4.699083
U070100676-B911242158,3.306412
U701118593-B206046501,4.410458
U590589708-B031953842,4.826747
U671379495-B119038646,4.569105
U443126482-B604316019,4.344692
U919461123-B015809772,4.478754
U156567257-B582147500,4.581150
U701118593-B648374944,4.029209
U501614561-B972267950,4.636581
U198184458-B816214472,4.217780
U050621077-B550397652,5.137336
U894687172-B169356130,4.320237
U561324775-B597739627,4.300758
U199015710-B880728464,4.584194
U883012947-B313256926,4.147783
U703956446-B929618088,4.001234
U528248967-B572015656,3.886169
U955518733-B300245105,4.803995
U405463371-B431198121,4.658425
U381485742-B910568741,3.589174
U495166401-B687202604,3.718633
U836139773-B046579874,3.974798
U124085233-B677767592,4.303342
U483796275-B173685344,3.997610
U415925793-B082241683,3.690177
U503078829-B622201529,4.781450
U657217729-B664728581,4.468127
U710200854-B173219127,4.431845
U577751594-B156315861,3.533735
U495166401-B009868509,4.164131
U491822196-B810750784,3.593644
U110783068-B426131052,4.807273
U206711718-B354874370,4.664929
U977893747-B562605986,4.114535
U126644846-B421451516,4.504192
U515940510-B163788567,4.815719
U599941338-B148118668,4.490970
U459358026-B912682083,4.776762
U901671157-B554789449,4.377340
U010840381-B723310107,4.424285
U155481029-B099033664,4.567316
U612040023-B414295057,4.694403
U589057420-B465285272,4.685494
U095227319-B491638727,3.877032
U845711229-B221748514,3.768535
U117245914-B303598692,4.037757
U617138314-B213377012,4.590698
U302303629-B257853596,4.268193
U787064870-B792113443,3.676434
U489684387-B415758858,4.112946
U214508458-B188841171,4.572675
U440530323-B761903991,4.624140
U672907730-B390955844,3.766796
U443486628-B598975538,4.183813
U498856918-B495528519,3.856197
U783028759-B188646128,4.620245
U490036346-B387595567,4.862185
U321677112-B545116840,3.616306
U530725966-B758390527,4.557296
U042373028-B356587800,4.812313
U405754632-B352410386,3.483339
U082536797-B677868030,4.910933
U252818973-B120795489,4.069622
U100816972-B872075499,4.456590
U415616980-B003050742,4.815302
U949193641-B065249691,4.239239
U542569778-B711101492,4.511176
U678479106-B558203555,4.041032
U562011782-B597323212,4.535166
U593643124-B251633288,4.211833
U572123410-B543257430,4.111989
U157277409-B499783544,4.471215
U589514391-B536542161,4.748344
U955628279-B344050885,4.370970
U170159083-B147626428,4.012941
U560289296-B771265089,4.401667
U219055009-B838788001,4.175454
U985118747-B625464041,4.078667
U823263812-B975908116,4.697072
U313936669-B594202101,3.751037
U189740184-B464968127,3.643870
U912299000-B851390113,4.904305
U835518478-B855270887,3.819600
U245470707-B966118589,4.450799
U416054128-B894951240,4.529718
U989970474-B845220163,3.588056
U662832801-B833287257,4.085931
U420731563-B022375429,4.849777
U269232869-B320312482,3.984222
U359576368-B855957703,4.377758
U141797556-B135239285,4.137556
U735951857-B265235516,4.137492
U047336885-B889843164,4.553574
U150198457-B885050041,4.699438
U154048160-B312261930,3.933084
U134319163-B716031286,4.075761
U695770265-B693462740,3.977675
U229531775-B474750209,3.917874
U522494752-B370131729,4.635181
U080963566-B552852275,4.617309
U717184671-B637743911,3.890650
U810260226-B228546660,3.912409
U153331373-B718538538,3.497860
U199696401-B118850545,4.175084
U691204284-B818171690,4.310876
U247719187-B303670526,4.395761
U080095840-B614369371,4.600180
U717458459-B207121998,4.368935
U198522086-B835281898,4.401933
U096066454-B819313555,3.591042
U473646660-B741702700,3.683736
U269257279-B496822059,4.574188
U787675118-B659166398,3.226389
U311898871-B584822344,4.451705
U103376739-B651354166,3.977464
U315903183-B601778569,3.972435
U726020211-B347513806,5.293620
U829304119-B499321081,4.661252
U391015881-B445094447,4.408251
U204360385-B159873292,4.478500
U887934885-B922586714,4.524412
U938143337-B982766556,4.434978
U570191223-B238078523,4.611138
U077117949-B313603595,4.143206
U122999552-B728283044,3.725466
U735898016-B573912876,3.987647
U898955221-B470523461,4.044677
U756407318-B830590521,4.949484
U329963600-B611829954,4.095941
U689850520-B088348224,4.194406
U024384777-B069010428,5.337466
U511566362-B704013743,4.375121
U515175602-B742491452,4.681659
U901208623-B922750407,4.384220
U688193003-B850449530,4.478543
U360004587-B728504665,4.171735
U473691521-B521388669,4.502144
U957346653-B654026231,3.788654
U068911588-B251633288,4.290524
U513612580-B986952469,3.785520
U608833649-B631381910,4.875038
U494888238-B799793913,4.064411
U516290781-B889993886,3.526221
U001034260-B022949445,5.015741
U780238719-B411694499,3.512575
U497403965-B261223347,3.790545
U008255734-B423680164,3.939401
U701792654-B538858880,4.074968
U693100096-B415590080,4.580499
U810260226-B107662732,4.339783
U254310572-B013293849,3.989591
U683612361-B079121247,4.539682
U951784163-B099098244,3.763068
U735787847-B082284151,4.141706
U964354516-B984485840,4.450620
U046896393-B136123608,5.013699
U105883405-B008402523,3.971718
U909004268-B965009823,3.697819
U112207885-B854154262,4.480763
U693100096-B796352861,4.110402
U021823686-B242780963,4.741590
U590443056-B882439516,4.192343
U641553690-B970486791,4.447471
U886382201-B725647691,4.669063
U142610682-B123027512,4.408117
U754044268-B229832115,4.061270
U701792182-B999070945,3.840212
U872306619-B075457375,4.481558
U624591121-B127155982,4.759468
U306474645-B245792310,4.008221
U613649736-B529534524,4.347302
U547930973-B477229870,4.215172
U233101143-B555334764,4.626859
U031216457-B094532496,5.065005
U664183142-B621136243,4.554076
U396309013-B827565233,3.503048
U770044015-B649133136,4.758688
U226383589-B165123054,4.156232
U715447604-B537470519,3.728577
U931251621-B556974188,4.452194
U080625718-B918506381,4.782154
U025052787-B663449455,3.412971
U610272909-B195453230,4.484861
U937044862-B862329554,4.308775
U416110073-B772307673,4.391206
U081715466-B056947862,4.031717
U992814076-B914985145,4.448337
U638778861-B269255344,4.475606
U962463049-B503825731,3.758954
U862239549-B574382172,4.632627
U079911820-B723831914,4.069646
U381650081-B584929221,4.690063
U846981950-B007603276,4.457137
U841898155-B270964621,3.967794
U394398136-B982612050,3.684317
U796651700-B965138266,4.329555
U348438002-B478251250,4.568032
U816453276-B271417447,4.013262
U329083463-B249204108,3.914913
U608975794-B112645120,4.226559
U881360212-B447589037,4.066445
U796937180-B291398150,4.153460
U936576119-B405907027,3.761015
U818532175-B819889707,4.117149
U535179673-B559755671,4.149860
U954335454-B956840988,4.610546
U809739191-B803323797,3.895327
U238369966-B525975173,4.185735
U136435622-B641462630,4.132598
U051689333-B875109304,4.643787
U434024736-B311598637,3.399611
U890368766-B740849685,4.010166
U490858989-B621340532,4.799489
U321129683-B775093690,4.069352
U377578825-B932535209,4.652841
U683612361-B149059408,3.540271
U362691371-B997419580,4.397028
U867041462-B851631003,4.279072
U403435258-B220996232,3.942236
U806898128-B742550215,4.335329
U787159694-B393699356,4.966831
U235444247-B920150363,3.923706
U108712154-B887680945,4.335978
U407027228-B558904147,4.827574
U179074460-B709868851,4.300487
U678102284-B511045065,4.217389
U463167601-B811509335,4.556210
U945013241-B847152648,4.699304
U881166923-B270065248,4.099259
U201634853-B393699356,4.979078
U892951291-B865837090,5.004746
U316621805-B546948410,4.515182
U011775649-B698861130,4.369036
U075952809-B265249899,4.783165
U785437609-B990126311,4.162685
U468109819-B285025772,4.654594
U693421452-B690966611,3.444847
U125509271-B337036234,4.283894
U918512616-B499815265,4.466087
U607802414-B178196891,4.859480
U453426309-B820767332,4.305586
U733730558-B705946094,4.806962
U825193607-B864298087,4.684547
U137554708-B475469438,4.126718
U078045654-B452907812,4.171013
U059599758-B710321379,3.991888
U616393297-B295752323,3.807616
U509748652-B425534095,4.315895
U894912775-B527552090,4.968801
U096066454-B149189813,3.337916
U096066454-B742686737,3.537705
U704433630-B014574117,4.809045
U561598912-B940713281,4.037697
U556606736-B332294454,3.908821
U349568872-B875516428,4.116707
U561598912-B190610908,3.460660
U095635367-B991262639,4.511235
U783883507-B950139756,4.105655
U886533856-B516991390,3.705453
U877710762-B183726416,4.578785
U141107781-B078145545,4.212760
U521321745-B118677110,4.235171
U580403962-B421451516,3.804917
U155024508-B285276994,4.414817
U719203803-B297775669,4.667657
U997571389-B475469438,4.399274
U791078966-B265808708,4.119612
U408883765-B821095955,4.121676
U161859662-B737429912,3.880035
U014242776-B059915546,4.910654
U139467661-B185910258,4.437687
U292858177-B671823685,4.010263
U183134332-B638737596,4.795740
U432339197-B688749570,4.050363
U539037823-B895216523,4.556741
U164468765-B322335601,3.763943
U707194756-B275936424,3.992023
U779840414-B713845545,4.040101
U711668446-B165842749,4.724934
U046429773-B166536009,3.828156
U272294791-B830590521,4.791112
U449000924-B724808693,4.146733
U779556738-B366461984,3.877350
U083609873-B927405735,3.870951
U762191734-B576854019,4.324577
U495166401-B271378437,3.615570
U168510023-B248402505,4.728954
U205720937-B172428858,4.221653
U108422093-B142475982,4.273907
U454275553-B881661056,4.743177
U816022206-B542253724,4.710914
U642138231-B094342053,3.834496
U925505040-B840592082,4.473316
U740583284-B810747896,3.384886
U474870585-B233917958,3.745260
U821790503-B038827581,4.215272
U040820213-B904636708,4.159019
U692746837-B673876416,3.685189
U575870533-B930400811,4.143668
U923826396-B872907019,4.084875
U173062717-B535504254,4.312873
U548438330-B569316234,4.100599
U119158823-B251482153,3.455791
U514329584-B690401738,4.024293
U791107529-B905119405,3.879431
U445963133-B577106826,4.581268
U414428776-B743108951,4.481837
U365111871-B237541198,4.243210
U345673324-B256639035,3.715384
U105707536-B038645210,4.087629
U096438896-B340299760,4.467921
U800846396-B091455957,5.015166
U833515490-B947583336,3.887063
U654892867-B400176854,3.823445
U290566473-B088349455,4.117121
U778305623-B255555903,3.931474
U047205555-B145227445,4.391926
U503189644-B245792310,3.797717
U623774227-B056291371,3.970111
U393424300-B956491458,4.106414
U247405418-B489391390,4.281009
U613676668-B320778829,3.992317
U199015710-B261223347,4.266999
U960837868-B273842773,3.851126
U062539538-B540427838,4.691778
U743790121-B464276328,3.938875
U317924723-B053898072,3.442752
U989673632-B570097030,4.720358
U807460473-B470430470,3.847280
U809703211-B921143609,4.719905
U903366132-B899064939,3.960913
U555610947-B608423108,4.101117
U644852091-B892088245,3.989980
U327962891-B978517739,4.404710
U205667849-B504556421,4.589484
U431121982-B354091223,3.368202
U517229581-B826722356,4.184941
U745816237-B761060074,4.747561
U996635316-B831821450,4.098929
U489624504-B217064334,4.325684
U527657312-B478384193,4.692179
U471390331-B082893054,3.475308
U916831931-B582147500,4.120134
U101471414-B384073552,3.481687
U835518478-B239239413,3.963389
U901516422-B423662850,4.511522
U112239712-B783201174,4.357769
U262719633-B519879396,4.054026
U749616003-B164700439,4.241295
U910752296-B170627267,4.779948
U097442491-B585921300,4.282838
U622086444-B577106826,4.596151
U800211303-B038663558,4.500875
U457886101-B439649578,3.754965
U134212978-B045475989,4.672242
U514933058-B961323979,4.016146
U837004684-B732665028,4.170612
U324604739-B754961661,4.446211
U674901933-B159851376,4.202350
U160776538-B395700434,3.366214
U883012947-B088854655,4.340560
U424078933-B611740995,3.444960
U089031304-B362737465,4.630462
U098011458-B992215100,4.404408
U459300295-B482433321,4.244218
U597652452-B373985855,4.316750
U211353108-B327273909,3.741920
U857702831-B479416258,5.170392
U202005816-B809923591,4.327592
U535837932-B985433101,4.676377
U954080747-B073156583,3.772078
U488778301-B683412842,4.211705
U572556321-B679366011,4.765678
U497354379-B781188365,5.183779
U829362648-B469912652,3.643803
U880779873-B419480903,3.895712
U408883765-B791476276,4.535934
U771079436-B998614253,4.583223
U518340718-B006219931,3.835355
U345313191-B253233842,4.506958
U319448948-B996113839,3.885290
U407518339-B614557559,4.203274
U146201992-B644409863,4.252374
U071339330-B401260666,3.940696
U842392087-B945640163,3.404254
U145090223-B928762264,4.691489
U912862916-B168609434,4.049395
U552712153-B094162868,4.349548
U910649369-B007407681,3.975274
U030923417-B065166002,4.251334
U243403035-B723881056,3.391384
U996122007-B127155949,4.162987
U834141153-B027967055,4.907189
U821877641-B000359088,3.535029
U165306053-B851320618,4.377201
U260226841-B185744870,3.808661
U870369062-B579720770,4.657510
U337308502-B148272659,4.122963
U281277191-B792504742,3.189262
U322636815-B373622881,4.661506
U023041086-B124452151,3.960606
U845711229-B555701451,3.402707
U719926055-B474493987,4.231392
U589826554-B751497350,4.484663
U202377171-B637009396,4.589847
U217273490-B098990935,4.088881
U736101681-B537565417,4.120936
U341490465-B742686737,4.273652
U473475583-B069866597,4.086520
U245481797-B525975173,3.887162
U371377616-B968293701,4.107375
U503078829-B974021031,4.128710
U149278314-B085125848,3.304902
U636537637-B331687347,4.446568
U605766624-B154639946,4.885176
U372613151-B648374944,4.146184
U898846188-B066859788,4.154464
U904556232-B044314172,4.223367
U048606684-B411673029,4.075104
U905716823-B925980490,4.464104
U957065767-B054339621,4.367463
U793877735-B475469438,4.815680
U490562160-B067725818,3.698276
U329012521-B076504587,3.666405
U250580070-B093317624,3.898846
U414337440-B119379865,3.471624
U028170973-B648042541,4.178691
U124776489-B218690540,4.167614
U769593331-B475469438,4.650006
U780238719-B247129575,3.927060
U840208723-B894778716,4.303752
U139216667-B634357525,3.966432
U115111659-B612867665,4.840190
U912088374-B743119691,3.825877
U384356825-B413729023,3.672795
U317020716-B118762548,4.552900
U292844227-B394519955,4.609772
U118983659-B693868241,3.723169
U273168865-B555024852,4.271730
U445637029-B265166108,3.659743
U184344958-B263681819,4.040394
U452333531-B414829003,4.232630
U401117970-B691744526,2.959650
U608975794-B861364211,3.686763
U210602993-B410950241,4.230058
U058155666-B097266732,4.486068
U593010313-B007789450,4.678260
U011666025-B374661620,3.446077
U719451779-B298457867,4.229897
U121665332-B218938286,4.625451
U581614667-B483110095,3.933364
U579937534-B910845835,4.205878
U503078829-B747342449,4.300045
U018571766-B343797501,4.793613
U926754589-B352553402,4.604437
U427780874-B130907543,4.220759
U414114468-B789666568,4.222890
U424303832-B609872526,4.288447
U770044015-B394236988,4.711873
U330543065-B352482927,4.686651
U553637683-B542228926,4.763611
U811275372-B282878477,3.753271
U935368392-B292827371,3.799186
U917889134-B413000039,4.370122
U096438896-B945393834,4.485713
